,pixel_index,roi_index,roi_name,fit_model,T2m,T2fl,T2fs,T1f,T1m,Af,Am,cl,cs,B1,echo,rss,rchi,AIC,BIC,dx,Am100,Af100,cl100,cs100,slice,nrows,ncols,groupName,subject,session,imagedRegion,imagedRegionType,roi
20,8085,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.90602911507386,0.0,365.0,1400.0,1.0,0.0,0.45490859762206026,0.0,1.0145272038751234,10.0,0.016762024195595217,0.0011972874425425154,-111.67149691802234,-109.17185688585369,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
21,8086,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.822776116004,0.0,365.0,1400.0,1.0,0.0,0.46001313895578866,0.0,0.9948002174075344,10.0,0.015921952263690343,0.0011372823045493103,-112.5455869486993,-110.04594691653065,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
22,8087,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.56180042336361,0.0,365.0,1400.0,1.0,0.0,0.46472828363181373,0.0,0.9836441667603741,10.0,0.014818099895423757,0.0010584357068159826,-113.76702680077379,-111.26738676860515,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
23,8321,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,114.65021013115661,0.0,365.0,1400.0,1.0,0.0,0.4776261221465804,0.0,0.9564182844421751,10.0,0.011499856934479443,0.0008214183524628174,-118.07677847985188,-115.57713844768324,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
24,8322,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.92412158092924,0.0,365.0,1400.0,1.0,0.0,0.47733056129139084,0.0,0.9557647911663458,10.0,0.012322644905242562,0.0008801889218030401,-116.90201006982193,-114.40237003765327,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
25,8323,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.86601671264185,0.0,365.0,1400.0,1.0,0.0,0.47605949301969974,0.0,0.9560846383028176,10.0,0.013299005237020545,0.0009499289455014674,-115.6057495418865,-113.10610950971784,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
26,8324,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,114.06088093411826,0.0,365.0,1400.0,1.0,0.0,0.4743946711467719,0.0,0.9582579961901011,10.0,0.013912447214416014,0.0009937462296011439,-114.83913990945105,-112.3394998772824,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
27,8325,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.59535492015826,0.0,365.0,1400.0,1.0,0.0,0.4736932107266353,0.0,0.9611275629331629,10.0,0.013697256211931567,0.0009783754437093976,-115.10414247498181,-112.60450244281316,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
28,8326,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.87685517799095,0.0,365.0,1400.0,1.0,0.0,0.4742698922473091,0.0,0.9612750053725042,10.0,0.013350730050894464,0.0009536235750638903,-115.53975842185952,-113.04011838969086,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
29,8327,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.8547770321261,0.0,365.0,1400.0,1.0,0.0,0.47333125304671275,0.0,0.965054245917869,10.0,0.013129857076961234,0.0009378469340686595,-115.82335694017887,-113.32371690801023,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
30,8328,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.40843172234204,0.0,365.0,1400.0,1.0,0.0,0.4696759242265931,0.0,0.9764740727050495,10.0,0.013111730059779102,0.0009365521471270788,-115.84684327425656,-113.34720324208791,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
31,8329,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.32741475505404,0.0,365.0,1400.0,1.0,0.0,0.4655604728969335,0.0,0.9913567200959819,10.0,0.013317605074294121,0.000951257505306723,-115.58199014642466,-113.082350114256,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
32,8330,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.85656481988681,0.0,365.0,1400.0,1.0,0.0,0.4619213174883877,0.0,1.0038277981114032,10.0,0.013997992212225427,0.0009998565865875304,-114.73493019104427,-112.23529015887561,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
33,8331,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.84740315952257,0.0,365.0,1400.0,1.0,0.0,0.459299628925131,0.0,1.0111289745358139,10.0,0.0147429698075524,0.0010530692719680286,-113.85343871053443,-111.35379867836579,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
34,8332,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.02126863933681,0.0,365.0,1400.0,1.0,0.0,0.4590186851478948,0.0,1.011343361590202,10.0,0.014938470422042084,0.0010670336015744346,-113.62949010939535,-111.1298500772267,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
35,8333,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.2837472269974,0.0,365.0,1400.0,1.0,0.0,0.4600070571845708,0.0,1.0104437373552249,10.0,0.014768826070053873,0.001054916147860991,-113.8236501760232,-111.32401014385454,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
36,8334,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,110.6629721841268,0.0,365.0,1400.0,1.0,0.0,0.4584667630372704,0.0,1.0194918284205545,10.0,0.015052495664180812,0.0010751782617272009,-113.50022195238245,-111.00058192021379,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
37,8335,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,110.36269444926705,0.0,365.0,1400.0,1.0,0.0,0.44283853450455835,0.0,1.379474083587504,10.0,0.014298937615835932,0.0010213526868454237,-114.37331747923056,-111.87367744706191,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
38,8336,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,110.59103270794213,0.0,365.0,1400.0,1.0,0.0,0.44252675284234555,0.0,1.3790219684212817,10.0,0.014714887699105712,0.0010510634070789793,-113.88585084289004,-111.3862108107214,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
