,pixel_index,roi_index,roi_name,fit_model,T2m,T2fl,T2fs,T1f,T1m,Af,Am,cl,cs,B1,echo,rss,rchi,AIC,BIC,dx,Am100,Af100,cl100,cs100,slice,nrows,ncols,groupName,subject,session,imagedRegion,imagedRegionType,roi
0,8065,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,239.79202840729985,37.3207242334298,365.0,1400.0,1.0,0.0,0.27610964081886713,0.323415686225176,0.8729233706191603,10.0,0.00016028780162796765,1.3357316802330638e-05,-186.71980002154078,-182.55373330125968,0.45,0.0,100.0,46.05470834405352,53.94529165594648,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
1,8066,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,232.7646127930568,36.64024281897304,365.0,1400.0,1.0,0.0,0.2808299186936929,0.3222463382949339,0.8699520252850612,10.0,0.0001447609553865022,1.2063412948875184e-05,-188.45188176035845,-184.28581504007735,0.45,0.0,100.0,46.56623692930245,53.43376307069755,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
2,8067,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,230.93686491077125,36.05577960659112,365.0,1400.0,1.0,0.0,0.2813532658364126,0.32426930499950934,0.8698629631124326,10.0,0.00014701591709495132,1.2251326424579277e-05,-188.1891117062832,-184.0230449860021,0.45,0.0,100.0,46.456865940129916,53.543134059870084,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
3,8068,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,34.962224557536395,225.45107517123085,365.0,1400.0,1.0,0.0,0.32201261933297076,0.2851637419652291,0.8722182421730736,10.0,0.00015009009164036128,1.2507507636696773e-05,-187.8372990138119,-183.6712322935308,0.45,0.0,100.0,53.034445979497235,46.965554020502765,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
4,8069,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,215.43326460456603,33.9453864675483,365.0,1400.0,1.0,0.0,0.2916025059980589,0.3147258558693903,0.876651801855993,10.0,0.0001553489075196587,1.2945742293304892e-05,-187.25185507597658,-183.0857883556955,0.45,0.0,100.0,48.09316606928026,51.90683393071974,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
5,8070,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,207.90056872703454,33.36384472293663,365.0,1400.0,1.0,0.0,0.29766781259851227,0.30579261456524065,0.8817553136565375,10.0,0.00016064719475838323,1.3387266229865269e-05,-186.68172573335315,-182.51565901307208,0.45,0.0,100.0,49.32681567829437,50.67318432170563,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
6,8071,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,205.85932106438577,33.300151263849884,365.0,1400.0,1.0,0.0,0.3008718037775169,0.29767215782575596,0.8875595881024134,10.0,0.00015670989516337463,1.3059157930281218e-05,-187.1035693269985,-182.93750260671743,0.45,0.0,100.0,50.26728579327659,49.73271420672341,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
7,8072,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,201.28060829198625,32.635925430702926,365.0,1400.0,1.0,0.0,0.308072135859908,0.28733188715757974,0.892532911036365,10.0,0.0001454974826056032,1.21247902171336e-05,-188.36560699305147,-184.19954027277038,0.45,0.0,100.0,51.74169537830946,48.25830462169054,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
8,8073,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,198.56683064251257,32.08226062837216,365.0,1400.0,1.0,0.0,0.31131620187271547,0.2833926493756901,0.8955747136151387,10.0,0.00011063387167169759,9.2194893059748e-06,-193.0224593020946,-188.8563925818135,0.45,0.0,100.0,52.347665789605166,47.652334210394834,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
9,8074,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,198.54615579595225,31.61397003454136,365.0,1400.0,1.0,0.0,0.3095028602839752,0.2858009453503578,0.8994399018844439,10.0,6.932791217326032e-05,5.777326014438359e-06,-200.96789716550114,-196.80183044522005,0.45,0.0,100.0,51.9907410896157,48.0092589103843,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
10,8075,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,201.5246155593704,31.40308548738302,365.0,1400.0,1.0,0.0,0.305547211186215,0.2906930395855989,0.9022173673064966,10.0,4.822179469787864e-05,4.018482891489887e-06,-207.1395177871326,-202.9734510668515,0.45,0.0,100.0,51.24565320618558,48.75434679381442,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
11,8076,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,204.96613212845838,31.577224067870112,365.0,1400.0,1.0,0.0,0.30122003092809546,0.2947726917602186,0.9043295473631308,10.0,4.604146684053016e-05,3.836788903377513e-06,-207.9260847952001,-203.760018074919,0.45,0.0,100.0,50.540890762792806,49.459109237207194,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
12,8077,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,198.8863712797011,31.129961313161925,365.0,1400.0,1.0,0.0,0.3048263446069194,0.292083570755047,0.9050255381003012,10.0,5.798451061597679e-05,4.832042551331399e-06,-204.00531575325738,-199.83924903297628,0.45,0.0,100.0,51.06739505609864,48.93260494390136,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
13,8078,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,189.38047737696317,30.22474305249345,365.0,1400.0,1.0,0.0,0.3113404817682818,0.29009397087635047,0.9021874249645679,10.0,6.830179055455118e-05,5.691815879545931e-06,-201.2213946359496,-197.0553279156685,0.45,0.0,100.0,51.76631973762942,48.23368026237058,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
14,8079,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,188.35715837336707,30.23222300098427,365.0,1400.0,1.0,0.0,0.30966516152631374,0.29292868326934396,0.9022344065837566,10.0,6.770864449031353e-05,5.642387040859461e-06,-201.3696707151205,-197.2036039948394,0.45,0.0,100.0,51.38870305443007,48.61129694556993,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
15,8080,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,192.0516919588565,30.388349645184775,365.0,1400.0,1.0,0.0,0.30857551913639947,0.29305664397858,0.9021022033132879,10.0,6.56132987877051e-05,5.467774898975425e-06,-201.9040735203003,-197.7380068000192,0.45,0.0,100.0,51.289731177059224,48.710268822940776,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
16,8081,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,195.11155242464918,30.55873435003198,365.0,1400.0,1.0,0.0,0.3103607759438384,0.29013249135203545,0.8998799384592682,10.0,7.63613044734212e-05,6.363442039451767e-06,-199.32521294179068,-195.15914622150962,0.45,0.0,100.0,51.684305694458025,48.315694305541975,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
17,8082,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,195.30497889969234,30.827540209491524,365.0,1400.0,1.0,0.0,0.3123708625440135,0.2872712316001944,0.8972831070015577,10.0,8.041430299853793e-05,6.701191916544827e-06,-198.44604134231818,-194.27997462203712,0.45,0.0,100.0,52.09288433791831,47.90711566208169,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
18,8083,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,189.32691200428565,30.064451052351117,365.0,1400.0,1.0,0.0,0.3195438908269861,0.28331413551747975,0.8940649242358075,10.0,7.750408694448607e-05,6.458673912040506e-06,-199.07268494882896,-194.90661822854787,0.45,0.0,100.0,53.00483312208612,46.99516687791388,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
19,8084,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,186.0803681074754,29.120654243471435,365.0,1400.0,1.0,0.0,0.3275410883937513,0.2799504307018654,0.888448468680532,10.0,8.880161093895686e-05,7.400134244913072e-06,-196.7594248867016,-192.5933581664205,0.45,0.0,100.0,53.916981241378885,46.083018758621115,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
20,8085,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,185.08417103323072,28.269364771109416,365.0,1400.0,1.0,0.0,0.33686242129499355,0.2754046645910371,0.8802916915409891,10.0,9.450569174640407e-05,7.875474312200339e-06,-195.70108526663589,-191.53501854635482,0.45,0.0,100.0,55.01886824563002,44.98113175436998,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
21,8086,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG2,40.0,187.43829878422923,28.838822242707284,365.0,1400.0,1.0,0.0,0.33928662575282975,0.27460042370239723,0.871317035151693,10.0,0.00011097701212019396,9.248084343349496e-06,-192.9698139429271,-188.803747222646,0.45,0.0,100.0,55.26857522958304,44.73142477041696,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
